batch_or_source,source_file_path_analyzed,destination_fixed_content_path,source_exists,destination_exists,notes
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-001\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-001\biur-halacha\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-001\levushei-serad\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-001\levushei-serad\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-008\yad-ephraim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-008\yad-ephraim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-009\yad-ephraim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman1\seif-009\yad-ephraim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman11\seif-004\yad-ephraim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman11\seif-004\yad-ephraim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman117\seif-005\biur-halacha\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman117\seif-005\biur-halacha\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman12\seif-001\ateret-zekenim\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman12\seif-001\ateret-zekenim\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-001\machatzit-hashekel\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-001\machatzit-hashekel\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-003\turei-zahav\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-003\turei-zahav\en.html,true,true,
Prompt B - OC segment mismatch fixes,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-005\beur-hagra\he.html,C:\Users\binya\Documents\Shulchan aruch\newtry\OC_Mobile\oc318-mobile-reader\public\corpus\oc1\siman128\seif-005\beur-hagra\en.html,true,true,
